Result of the Experiment for RANDOM input: N=1000000
Sorting Algorithm,Run 1,Avg. Time for N = 1000000
Selection Sort,1001.646494,1001.646494
Bubble Sort,2478.150560,2478.150560
Insertion Sort,563.652755,563.652755
Heap Sort,0.311755,0.311755
Merge Sort,0.299041,0.299041
Quick Sort,0.151535,0.151535
