Result of the Experiment for RANDOM input: N=1000000
Sorting Algorithm,Run 1,Avg. Time for N = 1000000
Selection Sort,997.521166,997.521166
Bubble Sort,2483.836150,2483.836150
Insertion Sort,578.987060,578.987060
Heap Sort,0.363257,0.363257
Merge Sort,0.291257,0.291257
Quick Sort,0.157244,0.157244
