Result of the Experiment for SEQUENCED input: N=100
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 100
Selection Sort,0.000011,0.000010,0.000010,0.000010,0.000010,0.000010
Bubble Sort,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000
Insertion Sort,0.000001,0.000000,0.000000,0.000001,0.000001,0.000001
Heap Sort,0.000009,0.000008,0.000007,0.000006,0.000006,0.000007
Merge Sort,0.000010,0.000008,0.000008,0.000007,0.000008,0.000008
Quick Sort,0.000004,0.000003,0.000003,0.000003,0.000003,0.000003
