Result of the Experiment for SEQUENCED input: N=10000
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 10000
Selection Sort,0.158816,0.106302,0.093451,0.092066,0.091322,0.108391
Bubble Sort,0.000019,0.000018,0.000018,0.000018,0.000017,0.000018
Insertion Sort,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028
Heap Sort,0.001521,0.001459,0.001468,0.001421,0.001419,0.001458
Merge Sort,0.002247,0.001870,0.001249,0.001818,0.001399,0.001717
Quick Sort,0.000457,0.000459,0.000461,0.000470,0.000467,0.000463
