Result of the Experiment for SEQUENCED input: N=100000
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 100000
Selection Sort,9.795986,9.428933,9.417100,9.494353,9.505939,9.528462
Bubble Sort,0.000383,0.000169,0.000171,0.000170,0.000169,0.000212
Insertion Sort,0.000272,0.000283,0.000271,0.000548,0.000319,0.000339
Heap Sort,0.019546,0.019283,0.020419,0.022082,0.024307,0.021127
Merge Sort,0.017215,0.017650,0.035481,0.057400,0.056697,0.036889
Quick Sort,0.006396,0.005957,0.006249,0.006024,0.010998,0.007125
