Result of the Experiment for RANDOM input: N=100
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 100
Selection Sort,0.000016,0.000016,0.000016,0.000017,0.000017,0.000016
Bubble Sort,0.000024,0.000025,0.000025,0.000025,0.000057,0.000031
Insertion Sort,0.000009,0.000007,0.000009,0.000008,0.000009,0.000008
Heap Sort,0.000012,0.000012,0.000011,0.000011,0.000012,0.000012
Merge Sort,0.000016,0.000013,0.000014,0.000040,0.000039,0.000024
Quick Sort,0.000009,0.000008,0.000007,0.000007,0.000007,0.000008
