Result of the Experiment for SEQUENCED input: N=100000
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 100000
Selection Sort,9.452802,9.322537,9.275455,9.262680,9.253998,9.313494
Bubble Sort,0.000191,0.000206,0.000239,0.000188,0.000193,0.000203
Insertion Sort,0.000297,0.000310,0.000295,0.000302,0.000302,0.000301
Heap Sort,0.019228,0.022516,0.017898,0.017642,0.018221,0.019101
Merge Sort,0.016794,0.016426,0.013451,0.013850,0.013842,0.014873
Quick Sort,0.006055,0.006315,0.006107,0.006636,0.005925,0.006208
