Result of the Experiment for RANDOM input: N=10
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 10
Selection Sort,0.000005,0.000003,0.000002,0.000003,0.000002,0.000003
Bubble Sort,0.000005,0.000003,0.000003,0.000003,0.000002,0.000003
Insertion Sort,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002
Heap Sort,0.000006,0.000004,0.000003,0.000004,0.000004,0.000004
Merge Sort,0.000009,0.000006,0.000005,0.000005,0.000005,0.000006
Quick Sort,0.000006,0.000003,0.000002,0.000003,0.000002,0.000003
