Result of the Experiment for SEQUENCED input: N=100
Sorting Algorithm,Run 1,Run 2,Run 3,Run 4,Run 5,Avg. Time for N = 100
Selection Sort,0.000041,0.000039,0.000039,0.000039,0.000039,0.000039
Bubble Sort,0.000003,0.000001,0.000002,0.000002,0.000001,0.000002
Insertion Sort,0.000003,0.000002,0.000001,0.000002,0.000002,0.000002
Heap Sort,0.000037,0.000030,0.000026,0.000025,0.000023,0.000028
Merge Sort,0.000048,0.000028,0.000038,0.000030,0.000034,0.000036
Quick Sort,0.000017,0.000011,0.000011,0.000011,0.000011,0.000012
