Result of the Experiment for RANDOM input: N=1000000
Sorting Algorithm,Run 1,Avg. Time for N = 1000000
Selection Sort,935.098947,935.098947
Bubble Sort,2352.128961,2352.128961
Insertion Sort,527.147945,527.147945
Heap Sort,0.292246,0.292246
Merge Sort,0.328007,0.328007
Quick Sort,0.148575,0.148575
